City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Rikitea,PF,2022-05-18 20:25:01,-23.1203,-134.9692,76.91,74,14,17.6
68,Lyuban,BY,2022-05-18 20:25:02,52.7985,28.0048,45.46,78,14,8.84
69,Kavieng,PG,2022-05-18 20:25:03,-2.5744,150.7967,81.77,78,11,7.72
70,Nanortalik,GL,2022-05-18 20:25:03,60.1432,-45.2371,38.64,81,19,6.98
71,Manta,EC,2022-05-18 20:25:04,-0.95,-80.7333,80.38,78,100,11.5
72,Tiksi,RU,2022-05-18 20:25:05,71.6872,128.8694,21.81,95,99,5.41
73,Changde,CN,2022-05-18 20:25:05,29.0464,111.6783,59.7,96,100,2.77
74,Grindavik,IS,2022-05-18 20:23:24,63.8424,-22.4338,49.95,93,100,10.36
75,Severo-Kurilsk,RU,2022-05-18 20:25:06,50.6789,156.125,43.5,89,92,3.15
76,Lagoa,PT,2022-05-18 20:25:06,39.05,-27.9833,60.01,96,100,20.51
77,Khasan,RU,2022-05-18 20:25:07,42.4308,130.6434,49.26,88,2,4.25
78,Upernavik,GL,2022-05-18 20:25:07,72.7868,-56.1549,29.28,78,6,10.76
79,Chengde,CN,2022-05-18 20:25:08,40.9725,117.9361,54.77,56,90,0.87
80,Cayenne,GF,2022-05-18 20:22:09,4.9333,-52.3333,84.24,1,75,10.36
81,Verkhnyaya Inta,RU,2022-05-18 20:25:09,65.9811,60.3094,31.3,80,85,7.14
82,Hobart,AU,2022-05-18 20:25:01,-42.8794,147.3294,51.26,65,75,14.97
83,Selenduma,RU,2022-05-18 20:25:10,50.9131,106.2406,54.95,51,64,1.45
84,Kahului,US,2022-05-18 20:25:10,20.8947,-156.47,82.42,66,40,5.99
85,Mayo,US,2022-05-18 20:25:11,38.8876,-76.5119,74.55,54,0,6.91
86,Egvekinot,RU,2022-05-18 20:25:11,66.3167,-179.1667,29.1,99,100,4.34
87,Mar Del Plata,AR,2022-05-18 20:25:11,-38.0023,-57.5575,51.82,72,100,13.8
88,Victoria,HK,2022-05-18 20:20:27,22.2855,114.1577,76.32,70,100,8.99
89,Maningrida,AU,2022-05-18 20:25:12,-12.0667,134.2667,67.39,84,8,6.46
90,Khon Buri,TH,2022-05-18 20:25:13,14.5254,102.2459,81.54,87,100,4.72
91,Neyshabur,IR,2022-05-18 20:26:13,36.2133,58.7958,67.75,52,28,6.53
92,Bredasdorp,ZA,2022-05-18 20:26:14,-34.5322,20.0403,61.3,84,100,14.34
93,Bambous Virieux,MU,2022-05-18 20:26:14,-20.3428,57.7575,75.45,69,75,9.22
94,Praia Da Vitoria,PT,2022-05-18 20:26:14,38.7333,-27.0667,59.76,100,75,22.17
95,Badvel,IN,2022-05-18 20:26:15,14.75,79.05,85.15,72,100,4.34
96,Hithadhoo,MV,2022-05-18 20:26:15,-0.6,73.0833,83.62,73,100,15.01
97,Meulaboh,ID,2022-05-18 20:26:16,4.1363,96.1285,76.87,86,98,3.11
98,Halifax,CA,2022-05-18 20:23:17,44.6453,-63.5724,57.69,53,40,18.41
99,Grants,US,2022-05-18 20:26:17,35.1473,-107.8514,82.63,7,0,5.75
100,Mackay,AU,2022-05-18 20:21:37,-21.15,149.2,70.81,85,28,12.68
