City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
272,Auki,SB,81.97,overcast clouds,-8.7676,160.7034,Auki Motel
273,Kupang,ID,84.9,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
274,Bilma,NE,88.0,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
278,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
280,Hobyo,SO,78.85,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
284,Martinsville,US,81.45,clear sky,36.6915,-79.8725,Hampton Inn Martinsville
287,Alofi,NU,78.91,few clouds,-19.0595,-169.9187,Taloa Heights
291,Tautira,PF,79.05,light rain,-17.7333,-149.15,Pension Oaoa
295,Buraydah,SA,82.99,clear sky,26.326,43.975,Mövenpick Qassim
301,Aswan,EG,82.94,clear sky,24.0934,32.907,Nuba Nile
303,Rosamorada,MX,81.75,clear sky,22.1222,-105.2058,Hotel Gonzalez
310,Islamkot,PK,79.45,clear sky,24.6997,70.177,Haji Hotel
316,Bud,US,82.38,clear sky,39.447,-86.1758,Ted McQuinn Trust
317,Gorontalo,ID,80.74,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
318,Avarua,CK,77.38,overcast clouds,-21.2078,-159.775,Paradise Inn
320,Ormara,PK,81.21,clear sky,25.2088,64.6357,Kenara Colony house for Rent
321,Pathein,MM,81.72,heavy intensity rain,16.7833,94.7333,Pathein Hotel
325,Pascagoula,US,82.45,clear sky,30.3658,-88.5561,Regency Inn
327,Xenia,US,81.39,clear sky,39.6848,-83.9296,Ramada by Wyndham Xenia
344,Sabang,ID,83.48,overcast clouds,5.8933,95.3214,Hotel Citra
345,Changji,CN,75.99,clear sky,44.0167,87.3167,Lvye Holiday Resort
346,Duki,PK,75.07,clear sky,30.1541,68.5728,Bhari Dada Kaka Hotel
352,Lorengau,PG,83.97,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
355,Axim,GH,78.04,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
356,Ughelli,NG,75.63,light rain,5.4899,6.0074,Prestige Hotel
357,Callaway,US,79.0,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
363,Acajutla,SV,81.39,broken clouds,13.5928,-89.8275,Laureles
373,Puerto Madero,MX,84.4,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
375,Fare,PF,79.95,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
377,Tagusao,PH,84.54,overcast clouds,9.1924,117.8141,Green Villa beach resort
379,Mazagao,BR,77.05,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
383,Griffith,US,82.89,broken clouds,41.5284,-87.4237,Apartment above Depot Bar
384,Hambantota,LK,79.27,broken clouds,6.1241,81.1185,Bungalow 63
385,Kirakira,SB,84.4,broken clouds,-10.4544,161.9205,SanBiz Lodge
386,Jeremie,HT,79.38,overcast clouds,18.65,-74.1167,Auberge’Inn
387,Liberty,US,80.85,broken clouds,31.8335,-81.5004,Sasser’s Mobile Home Park
388,Faanui,PF,80.49,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
389,Chazuta,PE,76.05,broken clouds,-6.5742,-76.1367,Cáliz Hostel Chazuta
391,Nueva Gerona,CU,81.97,broken clouds,21.8833,-82.8,Casa de la Alegria
396,Easley,US,81.66,clear sky,34.8298,-82.6015,Quality Inn & Suites
397,Marti,CU,79.41,overcast clouds,22.9475,-80.9203,Hotel Bibanasí
404,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
405,Kieta,PG,84.72,clear sky,-6.2167,155.6333,Uruna Bay Retreat
408,Kapoeta,SS,78.94,broken clouds,4.7717,33.5903,Eastgate Hotel
409,Cam Ranh,VN,85.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
410,Nongan,CN,76.62,scattered clouds,44.382,125.1685,Quanhu Resort
418,Key Largo,US,82.98,broken clouds,25.0865,-80.4473,Bayside Inn Key Largo
425,Makaha,US,85.91,light rain,21.4694,-158.2175,Hawaiian Princess Resort
426,Pingdu,CN,79.77,clear sky,36.7844,119.9464,Dongfang Hotel
427,Bambous Virieux,MU,75.22,light rain,-20.3428,57.7575,Casa Tia Villa
431,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
435,Ca Mau,VN,86.49,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
437,Paracuru,BR,82.11,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
446,Grand Baie,MU,75.45,scattered clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
448,Dwarka,IN,81.93,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
449,Sterling,US,85.19,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
451,San Pedro,PH,86.32,scattered clouds,14.35,121.0167,Esquivel's Garden And Resort
458,Mahuva,IN,80.85,clear sky,21.0914,71.7622,Hotel Blue Diamond.
464,Bambanglipuro,ID,78.66,overcast clouds,-7.95,110.2833,Puri Brata
466,Espanola,US,81.34,few clouds,35.9911,-106.0806,Santa Claran Hotel Casino
474,Karaton,ID,77.61,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
477,Ridgecrest,US,82.65,haze,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
489,Sinnamary,GF,75.88,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
492,Kaligutan,PH,82.33,overcast clouds,7.7031,125.8131,Jason edillo
493,Bubog,PH,82.53,overcast clouds,10.7694,122.968,WINBELLE PENSION HAUZ
497,Samarai,PG,83.1,few clouds,-10.6167,150.6667,Nuli Sapi
